Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Peru,2016,414401.0,3190969.47,7700.2,7700.197320952411
Suriname,2016,62713.0,278077.0,4434.1,4434.12051727712
Uruguay,2016,161194.0,1304672.0,8093.8,8093.800017370373
Venezuela (Bolivarian Republic of),2016,126085.0,498469.42,3953.4,3953.4395050957687
Argentina,2017,204100.0,1328340.0,6508.3,6508.28025477707
Bolivia (Plurinational State of),2017,172824.0,478578.45,2769.2,2769.166608804333
Brazil,2017,2006202.0,12464766.0,6213.1,6213.1161268905125
Chile,2017,20937.0,127866.0,6107.2,6107.178678893824
Colombia,2017,662400.0,2703100.0,4080.8,4080.766908212561
Ecuador,2017,358100.0,1330500.0,3715.4,3715.4426137950295
Guyana,2017,173300.0,969400.0,5593.8,5593.768032313907
Paraguay,2017,140000.0,924000.0,6600.0,6600.0
Peru,2017,426253.0,3115544.0,7309.1,7309.142692250846
Suriname,2017,59304.0,289431.0,4880.5,4880.46337515176
Uruguay,2017,164457.0,1409582.0,8571.1,8571.128015225864
Venezuela (Bolivarian Republic of),2017,168659.0,588587.0,3489.8,3489.8048725534954
Argentina,2018,198170.0,1367968.0,6903.0,6903.002472624515
Bolivia (Plurinational State of),2018,169776.0,541157.0,3187.5,3187.4764395438697
Brazil,2018,1872155.0,11808412.0,6307.4,6307.3901466491825
Chile,2018,29522.0,192808.0,6531.0,6530.993835106023
Colombia,2018,590000.0,2591400.0,4392.2,4392.203389830509
Ecuador,2018,298300.0,1083300.0,3631.6,3631.5789473684213
Guyana,2018,167000.0,964000.0,5772.5,5772.455089820359
Paraguay,2018,142000.0,894600.0,6300.0,6300.0
Peru,2018,437938.0,3557899.99,8124.2,8124.209340134906
Suriname,2018,56248.0,273916.0,4869.8,4869.790925899587
Uruguay,2018,162400.0,1247000.0,7678.6,7678.571428571428
Venezuela (Bolivarian Republic of),2018,170654.0,490583.0,2874.7,2874.723123981858
Argentina,2019,183285.0,1189866.0,6491.9,6491.889680006548
Bolivia (Plurinational State of),2019,187281.0,600044.0,3204.0,3203.9769116995317
Brazil,2019,1710063.0,10368639.0,6063.3,6063.308193908646
Chile,2019,26242.0,174897.2,6664.8,6664.781647740264
Colombia,2019,591000.0,2639200.0,4465.7,4465.651438240271
Ecuador,2019,257300.0,882400.0,3429.5,3429.4597745821998
Guyana,2019,177800.0,1049900.0,5904.9,5904.949381327335
Paraguay,2019,162000.0,1069200.0,6600.0,6600.0
Peru,2019,414401.0,3190969.47,7700.2,7700.197320952411
Suriname,2019,60185.0,274266.0,4557.0,4557.0490986126115
Uruguay,2019,145000.0,1200000.0,8275.9,8275.862068965518
Venezuela (Bolivarian Republic of),2019,150251.0,516752.0,3439.3,3439.2583077650065
