experiment,window,country,MAPE (%),MAE,RMSE,R2
sa_no_climate,,Chile,6.634386283895457,7898.535937500002,8479.49394466737,0.8154358326734097
sa_no_climate,,Colombia,0.6512647799587578,18752.833333333332,20082.72009091398,0.9877806119823727
sa_no_climate,,Ecuador,4.390983413498379,55953.375,60621.66942367672,-0.9504366890648883
sa_no_climate,,Guyana,4.7265914445357184,42489.520833333336,47450.878809271126,0.25897623161181405
sa_no_climate,,Paraguay,11.916177392251818,118596.875,132939.40070442262,-0.9135922115876696
sa_no_climate,,Peru,2.4671365083265373,86265.25999999994,106247.44831226699,-1.3002933853148098
sa_no_climate,,Suriname,1.4033204399636396,2957.3568749999977,3955.201227563114,0.9863994803861562
sa_no_climate,,Uruguay,1.3120790923323662,17687.833333333332,18458.930600288037,0.7565414673175443
sa_no_climate,,Venezuela (Bolivarian Republic of),3.362833072828363,24300.689999999984,27482.2268068604,-30.354497421049476
sa_climate,,Argentina,7.3931942612908,96825.0,119258.30129181957,0.09117606914005061
sa_climate,,Bolivia (Plurinational State of),20.302583023184276,132410.69083333333,157338.86950497236,-5.648991145353379
sa_climate,,Brazil,3.465494077817979,381374.3333333333,391148.82231745677,0.5273336695847237
sa_climate,,Chile,30.75803294298299,34541.78697916667,38003.464776846384,-2.7072673388148965
sa_climate,,Colombia,5.8132128048001785,167224.58333333334,171960.3873188653,0.10409653840295396
sa_climate,,Ecuador,7.227352670009584,88972.25,104019.13662524034,-4.742520619468214
sa_climate,,Guyana,7.040909391700846,64070.395833333336,68212.53251788784,-0.5313411944471929
sa_climate,,Paraguay,7.312928291684813,77063.95833333333,82302.69463683662,0.2665507472546882
sa_climate,,Peru,5.240703037455154,182183.9266666666,197484.41882639626,-6.947158701847826
sa_climate,,Suriname,18.181726569524912,35205.36708333334,42159.20353388563,-0.5452655716304071
sa_climate,,Uruguay,10.718373665827317,146840.70833333334,153033.87035679456,-15.73351010622644
sa_climate,,Venezuela (Bolivarian Republic of),6.709743221348415,48686.835833333316,59464.49427760457,-145.7950679882579
top_producers,,Bangladesh,4.43325816584979,2557281.6666666665,2692323.2051010644,-7.52694840551491
top_producers,,Cambodia,11.156441986192185,1385626.6666666667,1480539.1410789066,-7.057775814049995
top_producers,,China,1.4202676462082031,2980417.976666669,3214635.3947264613,-0.47642440954604215
top_producers,,India,9.752465845385466,19781757.333333332,20486622.28749392,-13.786679124101559
top_producers,,Indonesia,0.37506479646521956,204419.43333333233,249343.99890543002,0.371121403012594
top_producers,,Myanmar,2.3358109429854483,624607.3333333334,658187.6654298529,0.5637927154105924
top_producers,,Pakistan,12.861737590045887,1789402.6666666667,1987635.1136582724,-0.46469531307245404
top_producers,,Philippines,3.6519167045397545,728336.8133333338,736923.2737051806,-33.10297946442641
top_producers,,Thailand,4.3641765466598725,1452415.3333333333,1480653.2293928019,-25.469891796826236
top_producers,,Viet Nam,1.20967407626291,525619.7966666669,552636.1794550621,-0.22321651702446443
